PITCode,SurveyDate,SurveyYear,FLength,Bin,Season,SampleNum,ScaleFinalAge,Aged,Age,Notes
3DD.007753608B,4/19/2015,2015,80,80,Spring,,,Unaged,,
3DD.00775504C5,4/21/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077533D3E,4/22/2015,2015,80,80,Spring,,,Unaged,,
3DD.007754D537,4/22/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077534482,4/23/2015,2015,80,80,Spring,,,Unaged,,
3DD.00775280E0,4/26/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077530829,4/28/2015,2015,80,80,Spring,,,Unaged,,
3DD.00775303F5,4/30/2015,2015,80,80,Spring,15-68282,1:0,Aged,1,
3DD.00775387C7,4/30/2015,2015,80,80,Spring,,,Unaged,,
3DD.007753945C,5/3/2015,2015,80,80,Spring,,,Unaged,,
3DD.007753732D,5/4/2015,2015,80,80,Spring,15-68306,1:0,Aged,1,
3DD.0077535753,5/5/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077532003,5/8/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077537A2A,5/9/2015,2015,80,80,Spring,,,Unaged,,
3DD.007752C3C2,5/11/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077530E38,5/12/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077533692,5/14/2015,2015,80,80,Spring,,,Unaged,,
3DD.0077704D29,5/16/2015,2015,80,80,Spring,,,Unaged,,
3DD.00776F3756,5/17/2015,2015,80,80,Spring,,,Unaged,,
3DD.00776EFF7D,5/20/2015,2015,80,80,Spring,,,Unaged,,
384.3B23A148BD,3/15/2015,2015,81,80,Spring,15-68203,1:0,Aged,1,
3DD.00775305B6,3/17/2015,2015,81,80,Spring,,,Unaged,,
3DD.00775343F6,3/24/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077536D95,3/30/2015,2015,81,80,Spring,,,Unaged,,
3DD.007752B599,4/21/2015,2015,81,80,Spring,15-68253,1:0,Aged,1,
3DD.007752DE3C,4/21/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077533033,4/21/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077549799,4/21/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077534AC6,5/3/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077528A3E,5/5/2015,2015,81,80,Spring,,,Unaged,,
3DD.007754AD54,5/6/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077534B6E,5/9/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077537F11,5/9/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077531D8E,5/11/2015,2015,81,80,Spring,,,Unaged,,
3DD.00775325C6,5/13/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077533594,5/13/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077530A3A,5/14/2015,2015,81,80,Spring,,,Unaged,,
3DD.00775314E7,5/14/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077538C65,5/14/2015,2015,81,80,Spring,,,Unaged,,
3DD.007770BFA6,5/16/2015,2015,81,80,Spring,,,Unaged,,
3DD.00776FA99A,5/17/2015,2015,81,80,Spring,,,Unaged,,
3DD.007770C403,5/17/2015,2015,81,80,Spring,,,Unaged,,
3DD.00776EC4BC,5/18/2015,2015,81,80,Spring,,,Unaged,,
3DD.00776E88AC,5/19/2015,2015,81,80,Spring,,,Unaged,,
3DD.0077533974,3/31/2015,2015,82,80,Spring,,,Unaged,,
3DD.00775305FC,4/5/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077530FEA,4/18/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077530ECE,4/22/2015,2015,82,80,Spring,15-68258,1:0,Aged,1,
3DD.0077531E12,4/25/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077526206,4/27/2015,2015,82,80,Spring,15-68273,1:0,Aged,1,
3DD.0077530E2C,4/27/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077528D11,5/3/2015,2015,82,80,Spring,,,Unaged,,
3DD.007753893F,5/3/2015,2015,82,80,Spring,,,Unaged,,
3DD.0077533001,5/4/2015,2015,82,80,Spring,,,Unaged,,
